Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
ZCTA5 30818,,,,
    Estimate,-,-,"27,400",-
    Margin of Error,**,**,"±14,504",**
ZCTA5 30820,,,,
    Estimate,-,"65,800",-,"109,200"
    Margin of Error,**,"±14,144",**,"±36,411"
ZCTA5 30821,,,,
    Estimate,-,-,-,"226,700"
    Margin of Error,**,**,**,"±173,244"
ZCTA5 30822,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30823,,,,
    Estimate,-,"110,700","86,900","65,400"
    Margin of Error,**,"±22,623","±25,992","±31,253"
ZCTA5 30824,,,,
    Estimate,"134,700","159,000","113,100","139,100"
    Margin of Error,"±7,188","±42,156","±21,029","±16,087"
ZCTA5 30828,,,,
    Estimate,-,"153,300","83,400","57,500"
    Margin of Error,**,"±76,764","±10,027","±10,347"
ZCTA5 30830,,,,
    Estimate,-,"148,100","133,200","99,900"
    Margin of Error,**,"±28,852","±47,141","±34,650"
ZCTA5 30833,,,,
    Estimate,-,"107,300","143,100","119,100"
    Margin of Error,**,"±75,499","±43,322","±29,762"
ZCTA5 30901,,,,
    Estimate,-,"75,000","85,700","77,900"
    Margin of Error,**,"±30,851","±28,454","±17,858"
ZCTA5 30903,,,,
    Estimate,-,-,-,"171,400"
    Margin of Error,**,**,**,"±71,674"
ZCTA5 30904,,,,
    Estimate,"246,900","128,500","133,200","94,900"
    Margin of Error,"±69,381","±19,934","±26,594","±24,424"
ZCTA5 30905,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 30906,,,,
    Estimate,"111,200","99,000","96,200","93,100"
    Margin of Error,"±3,565","±19,762","±27,484","±2,606"
ZCTA5 30907,,,,
    Estimate,"195,700","184,300","153,000","172,500"
    Margin of Error,"±54,302","±12,219","±12,566","±8,874"
ZCTA5 30909,,,,
    Estimate,"126,200","186,000","189,100","168,900"
    Margin of Error,"±75,740","±39,502","±11,562","±17,394"
ZCTA5 30912,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31001,,,,
    Estimate,-,"38,400","51,500",-
    Margin of Error,**,"±15,227","±14,747",**
ZCTA5 31002,,,,
    Estimate,-,"89,100",-,-
    Margin of Error,**,"±33,962",**,**
ZCTA5 31003,,,,
    Estimate,-,"141,100","95,000",-
    Margin of Error,**,"±8,093","±70,807",**
ZCTA5 31005,,,,
    Estimate,"267,400","186,800","231,200","196,500"
    Margin of Error,"±46,859","±17,525","±60,678","±35,471"
ZCTA5 31006,,,,
    Estimate,-,"87,900","85,300","68,800"
    Margin of Error,**,"±80,379","±2,024","±57,465"
ZCTA5 31007,,,,
    Estimate,"31,500","111,700","63,200","109,600"
    Margin of Error,"±10,721","±19,557","±39,420","±33,638"
ZCTA5 31008,,,,
    Estimate,-,"149,000","158,000","142,700"
    Margin of Error,**,"±28,172","±9,430","±17,108"
ZCTA5 31009,,,,
    Estimate,-,"86,700","45,000",-
    Margin of Error,**,"±73,899","±33,863",**
ZCTA5 31011,,,,
    Estimate,-,"140,600",-,"146,400"
    Margin of Error,**,"±11,877",**,"±113,015"
ZCTA5 31012,,,,
    Estimate,-,"82,500","143,400","61,900"
    Margin of Error,**,"±17,029","±47,834","±19,014"
ZCTA5 31014,,,,
    Estimate,"113,500","108,000","137,400","123,600"
    Margin of Error,"±19,448","±12,886","±12,427","±58,179"
ZCTA5 31015,,,,
    Estimate,"109,800","212,600","79,800","111,000"
    Margin of Error,"±13,595","±101,487","±13,505","±34,556"
ZCTA5 31016,,,,
    Estimate,-,"81,900",-,"159,000"
    Margin of Error,**,"±45,689",**,"±15,674"
ZCTA5 31017,,,,
    Estimate,-,"54,600",-,-
    Margin of Error,**,"±6,916",**,**
ZCTA5 31018,,,,
    Estimate,-,"19,000","110,700","44,600"
    Margin of Error,**,"±5,971","±5,797","±35,460"
ZCTA5 31019,,,,
    Estimate,-,"133,400","116,700","106,800"
    Margin of Error,**,"±90,535","±78,459","±67,242"
ZCTA5 31020,,,,
    Estimate,-,-,-,"58,600"
    Margin of Error,**,**,**,"±34,016"
ZCTA5 31021,,,,
    Estimate,"212,400","165,600","103,800","150,000"
    Margin of Error,"±31,978","±18,678","±49,526","±19,880"
ZCTA5 31022,,,,
    Estimate,-,-,"184,400","92,500"
    Margin of Error,**,**,"±68,139","±38,480"
ZCTA5 31023,,,,
    Estimate,-,-,-,"97,400"
    Margin of Error,**,**,**,"±41,740"
ZCTA5 31024,,,,
    Estimate,"10,000-","216,700","153,400","174,200"
    Margin of Error,***,"±36,674","±140,028","±37,531"
ZCTA5 31025,,,,
    Estimate,-,-,"347,800",-
    Margin of Error,**,**,"±62,257",**
ZCTA5 31027,,,,
    Estimate,-,"73,000","62,400","70,000"
    Margin of Error,**,"±28,005","±8,664","±24,652"
ZCTA5 31028,,,,
    Estimate,-,"209,400","184,600","169,800"
    Margin of Error,**,"±158,167","±38,980","±56,705"
ZCTA5 31029,,,,
    Estimate,"248,700","242,100","188,800","166,300"
    Margin of Error,"±167,783","±72,320","±68,386","±27,896"
ZCTA5 31030,,,,
    Estimate,-,"125,400","96,100","128,300"
    Margin of Error,**,"±39,519","±60,968","±25,082"
ZCTA5 31031,,,,
    Estimate,-,"198,000","62,600","100,000"
    Margin of Error,**,"±148,039","±42,112","±49,681"
ZCTA5 31032,,,,
    Estimate,"239,700","163,700","168,200","167,300"
    Margin of Error,"±63,603","±46,543","±38,049","±8,602"
ZCTA5 31033,,,,
    Estimate,-,-,"66,300","188,900"
    Margin of Error,**,**,"±12,677","±9,780"
ZCTA5 31035,,,,
    Estimate,-,"81,700","119,200","134,400"
    Margin of Error,**,"±66,728","±85,137","±38,234"
ZCTA5 31036,,,,
    Estimate,-,"145,100","161,800","120,100"
    Margin of Error,**,"±16,962","±52,819","±19,359"
ZCTA5 31037,,,,
    Estimate,-,-,"84,500","181,600"
    Margin of Error,**,**,"±1,976","±61,513"
ZCTA5 31038,,,,
    Estimate,-,-,-,"68,600"
    Margin of Error,**,**,**,"±30,854"
ZCTA5 31039,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31041,,,,
    Estimate,-,-,"44,000","107,500"
    Margin of Error,**,**,"±13,883","±50,084"
ZCTA5 31042,,,,
    Estimate,-,"33,300","44,500",-
    Margin of Error,**,"±9,896","±41,270",**
ZCTA5 31044,,,,
    Estimate,-,"176,100",-,"74,400"
    Margin of Error,**,"±87,915",**,"±16,509"
ZCTA5 31045,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31046,,,,
    Estimate,-,"192,300","170,500","208,900"
    Margin of Error,**,"±69,536","±160,530","±82,683"
ZCTA5 31047,,,,
    Estimate,"190,100","228,700","199,200","187,100"
    Margin of Error,"±63,085","±24,313","±21,343","±10,385"
ZCTA5 31049,,,,
    Estimate,-,"116,100",-,"86,300"
    Margin of Error,**,"±23,346",**,"±34,162"
ZCTA5 31050,,,,
    Estimate,-,-,-,"188,200"
    Margin of Error,**,**,**,"±28,767"
ZCTA5 31051,,,,
    Estimate,-,-,-,"24,000"
    Margin of Error,**,**,**,"±4,184"
ZCTA5 31052,,,,
    Estimate,-,"147,600","158,400","189,300"
    Margin of Error,**,"±21,174","±13,436","±9,940"
ZCTA5 31054,,,,
    Estimate,-,-,"82,700",-
    Margin of Error,**,**,"±75,923",**
ZCTA5 31055,,,,
    Estimate,-,"157,700","162,500",-
    Margin of Error,**,"±77,493","±15,620",**
ZCTA5 31057,,,,
    Estimate,-,"93,600","101,000",-
    Margin of Error,**,"±7,200","±74,934",**
ZCTA5 31058,,,,
    Estimate,-,"133,200","69,500","104,400"
    Margin of Error,**,"±88,573","±52,536","±66,707"
ZCTA5 31060,,,,
    Estimate,-,"94,500","56,200","112,500"
    Margin of Error,**,"±83,006","±4,625","±63,075"
ZCTA5 31061,,,,
    Estimate,-,"184,100","101,600","146,000"
    Margin of Error,**,"±51,671","±31,168","±8,819"
ZCTA5 31062,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31063,,,,
    Estimate,-,-,"107,300","66,700"
    Margin of Error,**,**,"±7,515","±20,802"
ZCTA5 31064,,,,
    Estimate,"77,400","150,200","127,100","161,000"
    Margin of Error,"±73,173","±22,708","±16,621","±12,450"
ZCTA5 31065,,,,
    Estimate,-,-,"66,900",-
    Margin of Error,**,**,"±29,991",**
ZCTA5 31066,,,,
    Estimate,-,-,"138,900","306,700"
    Margin of Error,**,**,"±105,289","±144,113"
ZCTA5 31067,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31068,,,,
    Estimate,-,"10,000-",-,-
    Margin of Error,**,***,**,**
ZCTA5 31069,,,,
    Estimate,"205,000","176,900","147,600","149,500"
    Margin of Error,"±86,555","±44,368","±23,146","±16,286"
ZCTA5 31070,,,,
    Estimate,-,"56,300","55,300","72,300"
    Margin of Error,**,"±32,978","±2,257","±27,281"
ZCTA5 31071,,,,
    Estimate,-,"33,300","101,000","58,500"
    Margin of Error,**,"±8,162","±63,512","±8,176"
ZCTA5 31072,,,,
    Estimate,-,-,"95,500","66,600"
    Margin of Error,**,**,"±64,758","±36,083"
ZCTA5 31075,,,,
    Estimate,-,"55,200",-,-
    Margin of Error,**,"±2,687",**,**
ZCTA5 31076,,,,
    Estimate,-,"139,300","94,600","82,200"
    Margin of Error,**,"±110,168","±8,171","±57,382"
ZCTA5 31077,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31078,,,,
    Estimate,-,-,"165,400","175,700"
    Margin of Error,**,**,"±132,907","±90,999"
ZCTA5 31079,,,,
    Estimate,-,-,"60,000",-
    Margin of Error,**,**,"±13,668",**
ZCTA5 31081,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31082,,,,
    Estimate,-,"102,500","140,500","89,400"
    Margin of Error,**,"±19,821","±23,839","±29,864"
ZCTA5 31083,,,,
    Estimate,-,-,"81,700",-
    Margin of Error,**,**,"±64,549",**
ZCTA5 31084,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31085,,,,
    Estimate,-,-,"154,200","300,000"
    Margin of Error,**,**,"±95,525","±145,809"
ZCTA5 31087,,,,
    Estimate,-,"176,500","126,500","183,900"
    Margin of Error,**,"±75,368","±126,326","±136,363"
ZCTA5 31088,,,,
    Estimate,"143,200","261,800","154,700","152,500"
    Margin of Error,"±73,283","±49,403","±13,164","±14,535"
ZCTA5 31089,,,,
    Estimate,"160,600",-,"80,700","74,800"
    Margin of Error,"±5,853",**,"±73,063","±37,201"
ZCTA5 31090,,,,
    Estimate,-,-,-,"68,400"
    Margin of Error,**,**,**,"±13,853"
ZCTA5 31091,,,,
    Estimate,-,-,"83,000","111,100"
    Margin of Error,**,**,"±60,461","±19,227"
ZCTA5 31092,,,,
    Estimate,-,-,"181,300",-
    Margin of Error,**,**,"±79,978",**
ZCTA5 31093,,,,
    Estimate,-,"91,200","119,000","96,200"
    Margin of Error,**,"±36,635","±31,813","±11,449"
ZCTA5 31094,,,,
    Estimate,-,-,"93,100","203,000"
    Margin of Error,**,**,"±57,467","±89,470"
ZCTA5 31096,,,,
    Estimate,-,"109,100","43,500","67,200"
    Margin of Error,**,"±29,340","±14,592","±37,685"
ZCTA5 31097,,,,
    Estimate,-,"112,500","127,500",-
    Margin of Error,**,"±43,139","±19,181",**
ZCTA5 31098,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31201,,,,
    Estimate,-,"202,300","156,300","154,500"
    Margin of Error,**,"±132,786","±44,095","±122,093"
ZCTA5 31204,,,,
    Estimate,"182,300","117,500","108,700","93,300"
    Margin of Error,"±20,214","±24,453","±27,423","±13,410"
ZCTA5 31206,,,,
    Estimate,-,"85,600","60,900","80,000"
    Margin of Error,**,"±33,461","±34,354","±6,447"
ZCTA5 31207,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31210,,,,
    Estimate,"242,200","215,400","209,200","222,500"
    Margin of Error,"±59,935","±37,052","±49,742","±37,996"
ZCTA5 31211,,,,
    Estimate,-,"177,400","117,500","128,600"
    Margin of Error,**,"±23,098","±19,966","±73,899"
ZCTA5 31213,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31216,,,,
    Estimate,"274,000","146,400","131,600","128,300"
    Margin of Error,"±114,698","±45,995","±16,117","±13,265"
ZCTA5 31217,,,,
    Estimate,-,"54,200","132,600","76,900"
    Margin of Error,**,"±17,129","±36,177","±10,543"
ZCTA5 31220,,,,
    Estimate,-,"235,900","135,900","180,900"
    Margin of Error,**,"±163,541","±42,673","±30,531"
ZCTA5 31301,,,,
    Estimate,-,"108,900","119,100","135,800"
    Margin of Error,**,"±12,944","±104,933","±39,280"
ZCTA5 31302,,,,
    Estimate,"10,000-","161,700","153,600","132,100"
    Margin of Error,***,"±23,357","±24,291","±23,996"
ZCTA5 31303,,,,
    Estimate,-,"119,300","291,700","191,300"
    Margin of Error,**,"±110,922","±219,181","±88,991"
ZCTA5 31304,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31305,,,,
    Estimate,"134,800","213,300","136,400","179,100"
    Margin of Error,"±98,403","±146,262","±78,562","±55,948"
ZCTA5 31307,,,,
    Estimate,-,"210,400",-,"269,300"
    Margin of Error,**,"±73,656",**,"±66,899"
ZCTA5 31308,,,,
    Estimate,"138,400","112,700","131,700","136,900"
    Margin of Error,"±3,819","±49,628","±46,534","±14,533"
ZCTA5 31309,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31312,,,,
    Estimate,"254,000","199,000","182,100","145,600"
    Margin of Error,"±83,906","±33,208","±36,199","±10,478"
ZCTA5 31313,,,,
    Estimate,"148,300","147,900","135,900","155,700"
    Margin of Error,"±69,818","±18,309","±23,558","±12,680"
ZCTA5 31314,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31315,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31316,,,,
    Estimate,-,"168,000","106,200","162,500"
    Margin of Error,**,"±14,929","±43,292","±17,453"
ZCTA5 31318,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31320,,,,
    Estimate,"212,500","165,600","184,100","138,600"
    Margin of Error,"±90,594","±57,727","±32,018","±40,092"
ZCTA5 31321,,,,
    Estimate,"116,800","113,900","139,200","148,200"
    Margin of Error,"±12,845","±32,049","±114,905","±55,790"
ZCTA5 31322,,,,
    Estimate,"282,800","231,700","222,100","219,500"
    Margin of Error,"±51,464","±30,507","±20,792","±11,048"
ZCTA5 31323,,,,
    Estimate,-,-,"65,000","105,700"
    Margin of Error,**,**,"±50,024","±15,843"
ZCTA5 31324,,,,
    Estimate,"274,600","322,800","273,100","262,300"
    Margin of Error,"±32,122","±20,012","±17,164","±15,762"
ZCTA5 31326,,,,
    Estimate,-,"217,500","199,600","175,500"
    Margin of Error,**,"±26,468","±33,493","±12,520"
ZCTA5 31327,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31328,,,,
    Estimate,-,"545,200","554,300","586,700"
    Margin of Error,**,"±115,559","±80,280","±77,474"
ZCTA5 31329,,,,
    Estimate,"227,900","182,000","115,600","155,800"
    Margin of Error,"±10,040","±21,574","±26,123","±49,699"
ZCTA5 31331,,,,
    Estimate,-,"159,100","178,400","172,700"
    Margin of Error,**,"±40,694","±44,457","±23,336"
ZCTA5 31401,,,,
    Estimate,"214,700","424,100","387,500","447,300"
    Margin of Error,"±44,780","±78,764","±83,938","±111,604"
ZCTA5 31404,,,,
    Estimate,"171,300","170,700","172,800","112,100"
    Margin of Error,"±56,252","±14,109","±71,114","±24,051"
ZCTA5 31405,,,,
    Estimate,"294,500","267,300","177,400","178,200"
    Margin of Error,"±66,819","±30,260","±64,277","±21,068"
ZCTA5 31406,,,,
    Estimate,"382,500","216,500","199,600","149,100"
    Margin of Error,"±197,537","±22,590","±57,850","±21,428"
ZCTA5 31407,,,,
    Estimate,-,"208,000","188,000","201,400"
    Margin of Error,**,"±27,971","±38,167","±22,383"
ZCTA5 31408,,,,
    Estimate,-,"137,200","111,700","125,300"
    Margin of Error,**,"±2,754","±26,265","±28,207"
ZCTA5 31409,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 31410,,,,
    Estimate,"301,600","270,900","227,300","276,300"
    Margin of Error,"±141,234","±23,639","±29,011","±11,246"
ZCTA5 31411,,,,
    Estimate,"785,300","525,900","481,000","578,100"
    Margin of Error,"±226,271","±72,503","±33,996","±70,738"
ZCTA5 31415,,,,
    Estimate,-,"89,400",-,"112,700"
    Margin of Error,**,"±77,201",**,"±11,647"
ZCTA5 31419,,,,
    Estimate,"257,300","207,600","165,700","167,300"
    Margin of Error,"±107,013","±41,769","±11,709","±11,851"
