Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
    Margin of Error,"±76,392","±112,638","±22,459","±35,521"
ZCTA5 01079,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01080,,,,
    Estimate,-,"195,800","202,900","162,100"
    Margin of Error,**,"±74,444","±100,530","±14,428"
ZCTA5 01081,,,,
    Estimate,-,"207,100","225,000","230,600"
    Margin of Error,**,"±111,489","±76,859","±23,409"
ZCTA5 01082,,,,
    Estimate,"141,500","206,800","268,800","212,800"
    Margin of Error,"±24,293","±79,382","±66,016","±26,105"
ZCTA5 01083,,,,
    Estimate,-,"297,600","182,600","222,900"
    Margin of Error,**,"±96,077","±180,203","±11,018"
ZCTA5 01084,,,,
    Estimate,-,-,-,"322,700"
    Margin of Error,**,**,**,"±61,446"
ZCTA5 01085,,,,
    Estimate,"241,900","242,500","250,600","253,300"
    Margin of Error,"±32,828","±23,753","±30,395","±16,182"
ZCTA5 01086,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01088,,,,
    Estimate,-,-,-,"430,900"
    Margin of Error,**,**,**,"±66,064"
ZCTA5 01089,,,,
    Estimate,"274,000","227,500","212,000","252,700"
    Margin of Error,"±17,121","±40,127","±30,250","±17,222"
ZCTA5 01092,,,,
    Estimate,-,"225,400",-,-
    Margin of Error,**,"±57,026",**,**
ZCTA5 01093,,,,
    Estimate,-,-,-,"508,900"
    Margin of Error,**,**,**,"±305,910"
ZCTA5 01094,,,,
    Estimate,-,"187,500",-,-
    Margin of Error,**,"±93,793",**,**
ZCTA5 01095,,,,
    Estimate,-,"276,600","297,700","321,500"
    Margin of Error,**,"±61,947","±44,163","±27,096"
ZCTA5 01096,,,,
    Estimate,"350,000","293,300","240,600","290,000"
    Margin of Error,"±171,130","±85,968","±89,447","±53,251"
ZCTA5 01097,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01098,,,,
    Estimate,-,"371,400","240,800","259,400"
    Margin of Error,**,"±172,673","±48,191","±24,856"
ZCTA5 01103,,,,
    Estimate,-,"116,700",-,"308,600"
    Margin of Error,**,"±76,910",**,"±254,473"
ZCTA5 01104,,,,
    Estimate,"158,900","182,300","145,400","158,800"
    Margin of Error,"±33,205","±12,718","±7,367","±5,809"
ZCTA5 01105,,,,
    Estimate,-,-,-,"172,400"
    Margin of Error,**,**,**,"±170,940"
ZCTA5 01106,,,,
    Estimate,"370,000","367,400","358,500","305,400"
    Margin of Error,"±46,743","±56,874","±53,209","±43,917"
ZCTA5 01107,,,,
    Estimate,-,"171,700","166,800","158,700"
    Margin of Error,**,"±107,027","±58,600","±17,965"
ZCTA5 01108,,,,
    Estimate,"161,300","207,800","166,000","163,600"
    Margin of Error,"±2,651","±39,289","±6,770","±6,695"
ZCTA5 01109,,,,
    Estimate,"159,400","160,700","114,500","146,800"
    Margin of Error,"±41,449","±33,013","±8,230","±8,792"
ZCTA5 01118,,,,
    Estimate,"216,500","183,600","184,200","170,100"
    Margin of Error,"±25,583","±10,185","±21,547","±11,478"
ZCTA5 01119,,,,
    Estimate,"212,000","168,700","150,700","154,500"
    Margin of Error,"±25,177","±15,605","±13,950","±10,069"
ZCTA5 01128,,,,
    Estimate,-,-,"169,500","188,800"
    Margin of Error,**,**,"±14,496","±36,514"
ZCTA5 01129,,,,
    Estimate,-,"163,000","164,600","169,200"
    Margin of Error,**,"±11,386","±12,163","±10,964"
ZCTA5 01151,,,,
    Estimate,-,"145,200","131,300","145,900"
    Margin of Error,**,"±14,759","±56,244","±21,057"
ZCTA5 01199,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01201,,,,
    Estimate,-,"171,400","183,900","177,700"
    Margin of Error,**,"±12,256","±20,235","±12,021"
ZCTA5 01220,,,,
    Estimate,"535,200","144,500","163,700","149,700"
    Margin of Error,"±412,578","±22,867","±15,255","±25,205"
ZCTA5 01222,,,,
    Estimate,-,"187,500","252,500","285,900"
    Margin of Error,**,"±43,019","±49,989","±89,529"
ZCTA5 01223,,,,
    Estimate,"506,600","272,100","268,500","318,200"
    Margin of Error,"±323,039","±53,538","±22,755","±36,889"
ZCTA5 01224,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01225,,,,
    Estimate,-,"215,800","162,700","229,800"
    Margin of Error,**,"±43,769","±9,489","±18,252"
ZCTA5 01226,,,,
    Estimate,"437,900","278,400","211,000","229,600"
    Margin of Error,"±193,410","±91,240","±71,144","±63,924"
ZCTA5 01229,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01230,,,,
    Estimate,"565,800","374,300","374,000","417,900"
    Margin of Error,"±191,191","±128,236","±43,596","±59,312"
ZCTA5 01235,,,,
    Estimate,-,"259,200","170,800","170,800"
